"PlayerID","gameID","faction","forceOrg","ROW/Subfaction","alliedFaction","warlordTrait","VPs","warlord","listName"
"TW","0001","Sons of Horus","Castellan","Ravenwing Protocol","","Uncanny Survivor","5","Primus Nullificator",""
"JI","0002","Militia & Cults","Onslaught","","","Conqueror of Cities","12","Platoon Commander",""
"JK","0003","Sons of Horus","Castellan","Creeping Death","","Blind Barrage","14","Centurion",""
"MZ","0004","World Eaters","Onslaught","Ironwing Protocol","Blackshields","Master of the Vanguard","9","Centurion",""
"BD","0005","Iron Hands","Leviathan","","","Immovable Object","10","Moritat",""
"FJ","0006","Dark Angels","Leviathan","","","Inspiring Presence","8","Chaplain",""
"FE","0007","Questoris Knights","Onslaught","","","Inspiring Presence","15","Archmagos Draykavac",""
"AR","0008","Mechanicum","Crusade","Legio Cybernetica","Space Wolves","Intimidating Presence","1","Archmagos Inar Satarael",""
"LH","0009","Iron Warriors","Crusade","Ironwing Protocol","Sons of Horus","Conqueror of Cities","15","Master of Signals",""
"WT","0010","Militia & Cults","Onslaught","","","Ruthless Tyrant","5","Discipline Master",""
"WJ","0011","Blackshields","Leviathan","","","Master of the Vanguard","3","Champion",""
"AU","0012","Militia & Cults","Leviathan","","","Predictive Augury","5","Rogue Psyker Alpha",""
"LQ","0013","Blood Angels","Leviathan","Liberation Force","","Glorious Renown","15","Master of Signals",""
"BE","0014","Word Bearers","Crusade","","Thousand Sons","Master of Defence","3","Armistos",""
"QA","0015","Blackshields","Castellan","Decapitation Strike","","Divide to Conquer","13","Vigilator",""
"KQ","0016","Death Guard","Onslaught","Orphans of Betrayal","","Inspiring Presence","10","Mortificator",""
"BK","0017","Questoris Knights","Leviathan","","","Uncanny Survivor","14","Seneschal",""
"IP","0018","Night Lords","Crusade","Armoured Spearhead","","Battlefield Analysis","12","Chaplain",""
"XV","0019","Dark Angels","Crusade","Last of the Serrated Sun","","Tenacity","7","Mortificator",""
"CT","0020","Shattered Legions","Onslaught","","","The Dust of a Thousand Worlds","8","Master of Signals",""
"IK","0021","Raven Guard","Leviathan","","","World Burner","1","Mortificator",""
"BY","0022","White Scars","Leviathan","The Day of Sorrow","","Master of Offence","8","Praetor Tribune",""
"HH","0023","White Scars","Crusade","The Awakening Fire","","Hell Rider","14","Esoterist",""
"WA","0024","Thousand Sons","Onslaught","","","Divide to Conquer","3","Vigilator",""
"IF","0025","World Eaters","Onslaught","Decapitation Strike","Death Guard","Glorious Renown","10","Forge Lord",""
"UT","0026","Sons of Horus","Crusade","Last of the Serrated Sun","","Hell Rider","5","Master of Signals",""
"VE","0027","Death Guard","Castellan","Sacrificial Offering","Imperial Fists","Robber Baron","12","Librarian",""
"RQ","0028","Iron Warriors","Onslaught","Armoured Breakthrough","Word Bearers","Ruthless Tyrant","3","Armistos",""
"GT","0029","Sons of Horus","Crusade","The Day of Revelation","","Immovable Object","5","Delegatus",""
"OV","0030","Space Wolves","Castellan","Headhunter Leviathal","","Master of Offence","15","Chaplain",""
"MB","0031","Iron Warriors","Crusade","","","Dread Rites","2","Herald",""
"DL","0032","Death Guard","Castellan","Horror Cult","Thousand Sons","Coordinated Assault","11","Chaplain",""
"HF","0033","Solar Auxilia","Leviathan","","Emperor's Children","Master of Manoeuvre","13","Lord Marshal Ireton MaSade",""
"CY","0034","Imperial Fists","Onslaught","Orbital Assault","Emperor's Children","Glorious Renown","3","Siege Breaker",""
"JI","0035","World Eaters","Onslaught","Berserker Assault","","Intimidating Presence","7","Centurion",""
"IW","0036","Alpha Legion","Crusade","The Serpent's Bane","","Master Tactician","4","Champion",""
"YY","0037","White Scars","Castellan","","","Void Walker","15","Delegatus",""
"LF","0038","Mechanicum","Castellan","","","Bitter Blood","1","Magos Dominus",""
"PZ","0039","Militia & Cults","Onslaught","","Thousand Sons","Tenacity","7","Rogue Psyker Alpha",""
"SS","0040","Questoris Knights","Castellan","","","Legendary Fighter","2","Archmagos Draykavac",""
"TS","0041","Word Bearers","Crusade","The Stone Gauntlet","Emperor's Children","Uncanny Survivor","11","Praetor",""
"QI","0042","Emperor's Children","Castellan","Death Seekers","","Coordinated Assault","3","Primus Nullificator",""
"MH","0043","Space Wolves","Onslaught","Liberation Force","","Ruthless Tyrant","1","Moritat",""
"FO","0044","Questoris Knights","Onslaught","","","Tenacity","11","Lord Scion",""
"MM","0045","Night Lords","Leviathan","Orphans of War","","Blind Barrage","15","Primus Nullificator",""
"YW","0046","Shattered Legions","Leviathan","Death Seekers","","Divide to Conquer","2","Esoterist",""
"QL","0047","Space Wolves","Crusade","The Day of Revelation","","Marcher Lord","8","Primus Medicae",""
"BX","0048","Salamanders","Crusade","Sacrificial Offering","","Favoured of Mars","15","Vigilator",""
"DX","0049","Ultramarines","Onslaught","","","Master of the Vanguard","3","Primus Nullificator",""
"UL","0050","Sons of Horus","Castellan","","","Master of Manoeuvre","14","Mortificator",""
"UF","0051","Thousand Sons","Onslaught","","","Paladin of Glory","2","Champion",""
"DJ","0052","Solar Auxilia","Leviathan","","","Master of Manoeuvre","2","Lord Marshal",""
"IS","0053","Mechanicum","Crusade","Ordo Reductor","","Night Attacker","10","Magos reductor",""
"OS","0054","World Eaters","Castellan","","Blood Angels","Conqueror of Cities","15","Praetor Tribune",""
"WB","0055","Militia & Cults","Leviathan","","","Inspiring Presence","10","Rogue Psyker Alpha",""
"AC","0056","Mechanicum","Crusade","Legio Cybernetica","","Ruthless Tyrant","5","Magos Dominus",""
"PG","0057","Word Bearers","Castellan","Hammerfell Strike Force","Iron Warriors","Master of Offence","3","Praetor Tribune",""
"KF","0058","Iron Warriors","Crusade","","","Battlefield Analysis","11","Herald",""
"JB","0059","Ultramarines","Castellan","","","Robber Baron","7","Forge Lord",""
"DR","0060","Night Lords","Leviathan","Outcast Sons","Salamanders","Void Master","8","Champion",""
"YR","0061","Iron Warriors","Leviathan","The Unbroken Vow","","Master of Offence","6","Forge Lord",""
"JD","0062","Thousand Sons","Onslaught","The Steel Fist","Questoris Knights","Divide to Conquer","11","Warmonger",""
"RI","0063","Space Wolves","Crusade","","","Beloved of the People","14","Praetor",""
"BH","0064","Death Guard","Crusade","The Reaping","","Puissant Commander","6","Praetor Tribune",""
"WY","0065","Mechanicum","matrixOfRuin","Ordo Reductor","","Puissant Commander","3","Magos Dominus",""
"RD","0066","Alpha Legion","Castellan","Drop Assault Vanguard","","Predictive Augury","6","Praetor Tribune",""
"GG","0067","Solar Auxilia","Onslaught","","","Merchant Princeling","2","Lord Marshal",""
"KV","0068","Solar Auxilia","Leviathan","","","Master of Ambush","9","Lord Marshal Ireton MaSade",""
"KB","0069","White Scars","Castellan","The Serpent's Bane","","Uncanny Survivor","1","Master of Signals",""
"BX","0070","Alpha Legion","Crusade","Brethren of Iron","","Master of Ambush","7","Siege Breaker",""
"OR","0071","Night Lords","Crusade","The Hammer of Olympia","","Master of the Vanguard","9","Moritat",""
"GS","0072","Sons of Horus","Leviathan","The Hammer of Olympia","","Puissant Commander","8","Master of Signals",""
"PN","0073","Thousand Sons","Leviathan","","","Strategic Genius","9","Praetor",""
"QJ","0074","World Eaters","Onslaught","The Steel Fist","","Bitter Blood","3","Armistos",""
"VN","0075","Shattered Legions","Castellan","","","Favoured of Mars","5","Mortificator",""
"FH","0076","Sons of Horus","Leviathan","The Dark Brethren","","Favoured of Mars","14","Moritat",""
"XJ","0077","Questoris Knights","Crusade","","","Indomitable","9","Seneschal",""
"IB","0078","Salamanders","Leviathan","","","Beloved of the People","6","Siege Breaker",""
"WQ","0079","Militia & Cults","Crusade","","","Tenacity","6","Rogue Psyker Alpha",""
"TK","0080","Iron Warriors","Onslaught","Headhunter Leviathal","","Immovable Object","7","Moritat",""
"HD","0081","Raven Guard","Onslaught","","","Merchant Princeling","5","Praevian",""
"MQ","0082","Sons of Horus","Castellan","Drop Assault Vanguard","","Glorious Renown","3","Chaplain",""
"BN","0083","Space Wolves","Castellan","The Seekers Arrow","World Eaters","Robber Baron","9","Warmonger",""
"OJ","0084","Blackshields","Crusade","The Steel Fist","Night Lords","Predictive Augury","8","Champion",""
"JR","0085","White Scars","Leviathan","Drop Assault Vanguard","","Perfected Targeting","4","Armistos",""
"PD","0086","Blood Angels","Castellan","The Eskaton Imperative","","Child of Terra","10","Forge Lord",""
"VA","0087","Thousand Sons","Leviathan","Sacrificial Offering","","Indomitable","12","Warmonger",""
"BD","0088","Emperor's Children","Onslaught","After Isstvan","","Child of Terra","13","Primus Nullificator",""
"LG","0089","Questoris Knights","Leviathan","","Iron Warriors","Legendary Fighter","6","Lord Scion",""
"MM","0090","Iron Warriors","Onslaught","Vigil Opertii Mission","","Paladin of Glory","9","Vigilator",""
"KS","0091","Emperor's Children","Castellan","","","Robber Baron","11","Warmonger",""
"LW","0092","Iron Warriors","Leviathan","","","Princeps of Deceit","8","Praetor",""
"PH","0093","Imperial Fists","Castellan","The Swift Blade","","Void Master","11","Siege Breaker",""
"OU","0094","Space Wolves","Castellan","The Bloodied Claws","Mechanicum","Immovable Object","2","Forge Lord",""
"SS","0095","Iron Warriors","Castellan","","","Strategic Genius","10","Forge Lord",""
"WU","0096","Iron Hands","Onslaught","The Pale Hunters","Iron Hands","The Dust of a Thousand Worlds","8","Centurion",""
"AE","0097","Iron Warriors","Leviathan","The Reaping","","Night Attacker","2","Herald",""
"GF","0098","Raven Guard","Castellan","The Swift Blade","Iron Hands","Siege Master","7","Armistos",""
"PO","0099","Ultramarines","Crusade","","","Night Attacker","9","Delegatus",""
"IK","0100","Emperor's Children","Castellan","After Isstvan","White Scars","Lord of the Abyss","10","Mortificator",""
"HM","0101","Ultramarines","Onslaught","","","Void Master","11","Primus Medicae",""
"NR","0102","Blackshields","Crusade","Sagyar Mazan","","Immovable Object","5","Primus Nullificator",""
"VS","0103","Shattered Legions","Castellan","The Maru Skara","","Connoisseur of Alien Curios","7","Forge Lord",""
"QZ","0104","Thousand Sons","Crusade","The Head of the Gorgon","Blackshields","Bloody Handed","11","Librarian",""
"II","0105","Word Bearers","Castellan","","Salamanders","Master of Ambush","7","Librarian",""
"OC","0106","Sons of Horus","Leviathan","Berserker Assault","","Master Tactician","8","Praetor Tribune",""
"OU","0107","Space Wolves","Leviathan","The Seekers Arrow","","Night Attacker","12","Mortificator",""
"ME","0108","Sons of Horus","Crusade","Hammerfell Strike Force","","Glorious Renown","1","Forge Lord",""
"PV","0109","Shattered Legions","Castellan","Death Seekers","Militia & Cults","Coordinated Assault","3","Vigilator",""
"CO","0110","Shattered Legions","Castellan","","Blood Angels","Master Tactician","11","Chaplain",""
"ZY","0111","Iron Warriors","Leviathan","","","Blind Barrage","7","Mortificator",""
"GM","0112","Blackshields","Castellan","","Raven Guard","Intimidating Presence","14","Primus Nullificator",""
"VS","0113","Space Wolves","Castellan","","","Inspiring Presence","4","Armistos",""
"ER","0114","Emperor's Children","Castellan","","","Perfected Targeting","5","Champion",""
"XQ","0115","Imperial Fists","Castellan","Terror Assault","","Master of Manoeuvre","15","Vigilator",""
"RZ","0116","Blackshields","Leviathan","Chymeriae","","Master of Defence","15","Librarian",""
"GU","0117","Questoris Knights","Leviathan","","Space Wolves","Indomitable","5","Lord Scion",""
"KZ","0118","Blackshields","Onslaught","The Steel Fist","Shattered Legions","Perfected Targeting","7","Librarian",""
"EP","0119","White Scars","Castellan","","","Siege Master","7","Mortificator",""
"LB","0120","Blood Angels","Castellan","The Black Reaving","Shattered Legions","Connoisseur of Alien Curios","10","Esoterist",""
"TD","0121","Salamanders","Onslaught","Creeping Death","","Master of Ambush","14","Forge Lord",""
"VX","0122","Solar Auxilia","Crusade","","","Immovable Object","4","Lord Marshal",""
"VG","0123","Salamanders","Leviathan","The Awakening Fire","","Divide to Conquer","4","Librarian",""
"JJ","0124","Mechanicum","Onslaught","Ordo Reductor","","Void Walker","8","Secutarii Axiarch",""
"GN","0125","Death Guard","Castellan","","","Child of Terra","1","Primus Nullificator",""
"NK","0126","Solar Auxilia","Crusade","","Dark Angels","World Burner","6","Lord Marshal",""
"XV","0127","Ultramarines","Onslaught","Fury of the Ancients","","Robber Baron","5","Herald",""
"RO","0128","Mechanicum","Castellan","","Death Guard","Bitter Blood","15","Anacharis Scoria",""
"AA","0129","Questoris Knights","Leviathan","","","Night Attacker","10","Seneschal",""
"FA","0130","Salamanders","Leviathan","Legion Recon Company","","World Burner","4","Vigilator",""
"RY","0131","Space Wolves","Onslaught","Zone Mortalis Assault Force","","Beloved of the People","2","Librarian",""
"DT","0132","Shattered Legions","Leviathan","","","Coordinated Assault","9","Mortificator",""
"RT","0133","Alpha Legion","Crusade","3rd Company Elite","Word Bearers","Immovable Object","6","Praevian",""
"MX","0134","Alpha Legion","Castellan","","","Battlefield Analysis","1","Primus Nullificator",""
"ZX","0135","Raven Guard","Onslaught","","Solar Auxilia","Dread Rites","1","Herald",""
"VI","0136","Salamanders","Onslaught","Armoured Breakthrough","","Coordinated Assault","2","Warmonger",""
"YU","0137","Salamanders","Leviathan","Sagyar Mazan","","Predictive Augury","5","Armistos",""
"BV","0138","Night Lords","Castellan","","","Lord of the Abyss","15","Forge Lord",""
"CK","0139","Raven Guard","Onslaught","","","Robber Baron","9","Warmonger",""
"JD","0140","Blackshields","Crusade","","","Target Priority","2","Esoterist",""
"ZM","0141","Iron Hands","Crusade","Chogorian Brotherhood","","Connoisseur of Alien Curios","2","Librarian",""
"CE","0142","Space Wolves","Crusade","The Long March","","Night Attacker","1","Esoterist",""
"KO","0143","Night Lords","Castellan","","","Blind Barrage","9","Praevian",""
"PS","0144","Salamanders","Castellan","","Emperor's Children","Coordinated Assault","6","Chaplain",""
"DH","0145","Word Bearers","Onslaught","The Swift Blade","","Immovable Object","11","Centurion",""
"BP","0146","Iron Hands","Castellan","Sacrificial Offering","","Beloved of the People","1","Librarian",""
"YW","0147","Mechanicum","matrixOfRuin","Legio Cybernetica","","Beloved of the People","10","Archmagos Draykavac",""
"VG","0148","Sons of Horus","Leviathan","","Iron Warriors","Bitter Blood","8","Primus Nullificator",""
"EO","0149","Iron Hands","Crusade","The Black Reaving","","Master of Manoeuvre","13","Mortificator",""
"FV","0150","Night Lords","Crusade","","","Predictive Augury","9","Master of Signals",""
"BO","0151","Emperor's Children","Castellan","The Reaping","","Bitter Blood","15","Primus Medicae",""
"BU","0152","Imperial Fists","Leviathan","Creeping Death","","World Burner","8","Primus Medicae",""
"MA","0153","Militia & Cults","Onslaught","","Ultramarines","Favoured of Mars","11","Rogue Psyker Alpha",""
"QT","0154","Death Guard","Castellan","","","Strategic Genius","8","Praetor",""
"XB","0155","Iron Hands","Onslaught","Orphans of Betrayal","Iron Hands","Indomitable","13","Warmonger",""
"HU","0156","Thousand Sons","Leviathan","","","Night Attacker","14","Esoterist",""
"RV","0157","World Eaters","Leviathan","","","Master Tactician","4","Delegatus",""
"YQ","0158","Raven Guard","Castellan","","","Immovable Object","8","Primus Medicae",""
"UK","0159","Questoris Knights","Onslaught","","","Robber Baron","8","Archmagos Draykavac",""
"HD","0160","Emperor's Children","Leviathan","Hammerfell Strike Force","","Dread Rites","13","Praevian",""
"ZS","0161","Blood Angels","Castellan","","","The Dust of a Thousand Worlds","13","Master of Signals",""
"EJ","0162","Iron Warriors","Onslaught","Terror Assault","","Tenacity","1","Primus Nullificator",""
"GY","0163","Night Lords","Crusade","Outcast Sons","Questoris Knights","Master of Mechanisms","1","Forge Lord",""
"VM","0164","Iron Warriors","Crusade","Headhunter Leviathal","","Ruthless Tyrant","13","Primus Nullificator",""
"UH","0165","Death Guard","Onslaught","Decapitation Strike","","World Burner","6","Vigilator",""
