"gameID","gameSize","mission","deployment"
"0001","2300","Tide Of Carnage","Dawn Of War"
"0002","2250","War Of Lies","Dawn Of War"
"0003","3650","Dominion","Clash Of The Line"
"0004","2300","War Of Lies","Dawn Of War"
"0005","3100","Onslaught","Search And Destroy"
"0006","4600","War Of Lies","Vanguard Strike"
"0007","1500","Blood Feud","Dawn Of War"
"0008","3200","Shatter Strike","Clash Of The Line"
"0009","4900","Blood Feud","Hammer And Anvil"
"0010","1800","Shatter Strike","Vanguard Strike"
"0011","1950","Blood Feud","Clash Of The Line"
"0012","3050","Shatter Strike","Dawn Of War"
"0013","1550","Onslaught","Clash Of The Line"
"0014","4400","Tide Of Carnage","Search And Destroy"
"0015","1400","Onslaught","Ambush"
"0016","1700","Tide Of Carnage","Ambush"
"0017","4050","Tide Of Carnage","Hammer And Anvil"
"0018","2200","Onslaught","Dawn Of War"
"0019","1100","Blood Feud","Vanguard Strike"
"0020","4700","Blood Feud","Dawn Of War"
"0021","1950","Shatter Strike","Dawn Of War"
"0022","5000","Tide Of Carnage","Hammer And Anvil"
"0023","1300","Dominion","Search And Destroy"
"0024","4700","Dominion","Search And Destroy"
"0025","3150","Blood Feud","Clash Of The Line"
"0026","4150","Shatter Strike","Clash Of The Line"
"0027","1300","Dominion","Hammer And Anvil"
"0028","3600","War Of Lies","Search And Destroy"
"0029","4650","War Of Lies","Hammer And Anvil"
"0030","1700","Blood Feud","Vanguard Strike"
"0031","3600","Tide Of Carnage","Ambush"
"0032","4500","Shatter Strike","Clash Of The Line"
"0033","2750","Shatter Strike","Hammer And Anvil"
"0034","4450","Dominion","Search And Destroy"
"0035","4200","Shatter Strike","Dawn Of War"
"0036","2900","Onslaught","Search And Destroy"
"0037","2700","Blood Feud","Search And Destroy"
"0038","1400","Dominion","Ambush"
"0039","1550","Shatter Strike","Hammer And Anvil"
"0040","3150","Dominion","Clash Of The Line"
"0041","2350","Blood Feud","Vanguard Strike"
"0042","2600","Onslaught","Search And Destroy"
"0043","1950","Onslaught","Clash Of The Line"
"0044","3650","Onslaught","Ambush"
"0045","2950","Blood Feud","Hammer And Anvil"
"0046","2250","Dominion","Dawn Of War"
"0047","3050","Shatter Strike","Clash Of The Line"
"0048","4100","Onslaught","Search And Destroy"
"0049","3350","Blood Feud","Vanguard Strike"
"0050","4100","Tide Of Carnage","Clash Of The Line"
"0051","4350","Tide Of Carnage","Ambush"
"0052","4500","Dominion","Ambush"
"0053","1950","Shatter Strike","Ambush"
"0054","2800","Dominion","Hammer And Anvil"
"0055","3900","Dominion","Search And Destroy"
"0056","2300","Dominion","Hammer And Anvil"
"0057","2900","Tide Of Carnage","Hammer And Anvil"
"0058","2800","Tide Of Carnage","Dawn Of War"
"0059","2600","Dominion","Search And Destroy"
"0060","3100","Shatter Strike","Hammer And Anvil"
"0061","1600","Dominion","Dawn Of War"
"0062","2050","War Of Lies","Hammer And Anvil"
"0063","4750","Blood Feud","Clash Of The Line"
"0064","4100","Blood Feud","Clash Of The Line"
"0065","1550","Tide Of Carnage","Clash Of The Line"
"0066","3950","Shatter Strike","Search And Destroy"
"0067","3700","Blood Feud","Search And Destroy"
"0068","1300","War Of Lies","Dawn Of War"
"0069","2950","Tide Of Carnage","Vanguard Strike"
"0070","4900","War Of Lies","Clash Of The Line"
"0071","4050","Dominion","Dawn Of War"
"0072","1850","Blood Feud","Ambush"
"0073","1050","Onslaught","Hammer And Anvil"
"0074","3050","Blood Feud","Vanguard Strike"
"0075","4650","Dominion","Vanguard Strike"
"0076","2400","Tide Of Carnage","Clash Of The Line"
"0077","3900","Tide Of Carnage","Search And Destroy"
"0078","1200","Onslaught","Hammer And Anvil"
"0079","4000","Tide Of Carnage","Hammer And Anvil"
"0080","3100","Tide Of Carnage","Vanguard Strike"
"0081","4900","Tide Of Carnage","Search And Destroy"
"0082","4300","Blood Feud","Vanguard Strike"
"0083","2800","Shatter Strike","Ambush"
"0084","1800","War Of Lies","Ambush"
"0085","2250","Onslaught","Hammer And Anvil"
"0086","4400","Shatter Strike","Hammer And Anvil"
"0087","3300","Onslaught","Clash Of The Line"
"0088","1300","Onslaught","Hammer And Anvil"
"0089","3100","War Of Lies","Clash Of The Line"
"0090","2950","Onslaught","Search And Destroy"
"0091","1500","War Of Lies","Ambush"
"0092","3800","Shatter Strike","Vanguard Strike"
"0093","3950","War Of Lies","Dawn Of War"
