"gameID","gameSize","mission","deployment"
"0001","1100","Onslaught","Hammer And Anvil"
"0002","1750","Shatter Strike","Clash Of The Line"
"0003","4650","War Of Lies","Vanguard Strike"
"0004","4150","Tide Of Carnage","Clash Of The Line"
"0005","1600","Tide Of Carnage","Clash Of The Line"
"0006","4950","Blood Feud","Search And Destroy"
"0007","5000","Dominion","Clash Of The Line"
"0008","2850","Blood Feud","Hammer And Anvil"
"0009","3250","Shatter Strike","Dawn Of War"
"0010","1150","War Of Lies","Clash Of The Line"
"0011","3150","Blood Feud","Dawn Of War"
"0012","2550","Onslaught","Dawn Of War"
"0013","4300","Shatter Strike","Vanguard Strike"
"0014","3000","Onslaught","Dawn Of War"
"0015","3450","Onslaught","Dawn Of War"
"0016","4400","Tide Of Carnage","Dawn Of War"
"0017","2150","War Of Lies","Hammer And Anvil"
"0018","3600","Dominion","Dawn Of War"
"0019","4200","Blood Feud","Dawn Of War"
"0020","1650","Blood Feud","Ambush"
"0021","1700","War Of Lies","Ambush"
"0022","1350","War Of Lies","Ambush"
"0023","2150","Shatter Strike","Ambush"
"0024","3800","Shatter Strike","Vanguard Strike"
"0025","2800","Dominion","Vanguard Strike"
"0026","4400","Blood Feud","Vanguard Strike"
"0027","4450","Onslaught","Dawn Of War"
"0028","1700","Shatter Strike","Dawn Of War"
"0029","2750","Tide Of Carnage","Clash Of The Line"
"0030","1150","Dominion","Dawn Of War"
"0031","2650","Blood Feud","Hammer And Anvil"
"0032","3150","Tide Of Carnage","Ambush"
"0033","1350","War Of Lies","Ambush"
"0034","3250","Tide Of Carnage","Ambush"
"0035","4800","Tide Of Carnage","Search And Destroy"
"0036","2500","Tide Of Carnage","Dawn Of War"
"0037","4400","Tide Of Carnage","Ambush"
"0038","1200","Blood Feud","Clash Of The Line"
"0039","1900","War Of Lies","Clash Of The Line"
"0040","2000","War Of Lies","Dawn Of War"
"0041","1950","Shatter Strike","Ambush"
"0042","3350","Blood Feud","Vanguard Strike"
"0043","2850","Blood Feud","Search And Destroy"
"0044","2850","War Of Lies","Clash Of The Line"
"0045","1350","War Of Lies","Dawn Of War"
"0046","3400","War Of Lies","Clash Of The Line"
"0047","1600","Onslaught","Dawn Of War"
"0048","1500","Shatter Strike","Ambush"
"0049","3750","War Of Lies","Vanguard Strike"
"0050","2000","Shatter Strike","Ambush"
"0051","3900","Shatter Strike","Clash Of The Line"
"0052","1350","Tide Of Carnage","Vanguard Strike"
"0053","3900","War Of Lies","Hammer And Anvil"
"0054","4350","Onslaught","Search And Destroy"
"0055","3400","Tide Of Carnage","Clash Of The Line"
"0056","3500","War Of Lies","Dawn Of War"
"0057","3600","War Of Lies","Search And Destroy"
"0058","4000","Tide Of Carnage","Vanguard Strike"
"0059","2600","Blood Feud","Search And Destroy"
"0060","4500","Dominion","Dawn Of War"
"0061","3300","Tide Of Carnage","Clash Of The Line"
"0062","3650","Shatter Strike","Clash Of The Line"
"0063","4150","Shatter Strike","Hammer And Anvil"
"0064","1300","Dominion","Dawn Of War"
"0065","1900","Blood Feud","Vanguard Strike"
"0066","3350","Tide Of Carnage","Search And Destroy"
"0067","1200","Tide Of Carnage","Vanguard Strike"
"0068","4000","Tide Of Carnage","Dawn Of War"
"0069","3650","Tide Of Carnage","Hammer And Anvil"
"0070","1050","Onslaught","Clash Of The Line"
"0071","4200","Tide Of Carnage","Ambush"
"0072","3700","Onslaught","Vanguard Strike"
"0073","3700","Tide Of Carnage","Hammer And Anvil"
"0074","1350","Dominion","Dawn Of War"
"0075","2150","War Of Lies","Clash Of The Line"
"0076","2950","Onslaught","Vanguard Strike"
"0077","4600","Onslaught","Hammer And Anvil"
"0078","1600","Dominion","Hammer And Anvil"
"0079","3150","Shatter Strike","Dawn Of War"
"0080","1650","Shatter Strike","Vanguard Strike"
"0081","4850","Dominion","Clash Of The Line"
"0082","4350","Shatter Strike","Hammer And Anvil"
"0083","4250","Dominion","Clash Of The Line"
"0084","2050","Blood Feud","Dawn Of War"
"0085","4150","Tide Of Carnage","Clash Of The Line"
"0086","1800","Dominion","Search And Destroy"
"0087","2300","Shatter Strike","Dawn Of War"
"0088","4250","Dominion","Dawn Of War"
"0089","2000","Shatter Strike","Clash Of The Line"
"0090","2650","Tide Of Carnage","Ambush"
"0091","1050","War Of Lies","Clash Of The Line"
"0092","1300","Dominion","Vanguard Strike"
"0093","1600","Onslaught","Vanguard Strike"
"0094","4800","Blood Feud","Hammer And Anvil"
"0095","4050","War Of Lies","Ambush"
"0096","3350","Onslaught","Dawn Of War"
"0097","3000","Dominion","Dawn Of War"
"0098","3850","Onslaught","Clash Of The Line"
"0099","1800","Blood Feud","Search And Destroy"
"0100","2350","Blood Feud","Search And Destroy"
"0101","2000","Shatter Strike","Ambush"
"0102","1900","Dominion","Dawn Of War"
"0103","2250","Tide Of Carnage","Hammer And Anvil"
"0104","4200","Dominion","Ambush"
"0105","1550","Blood Feud","Search And Destroy"
"0106","4800","Tide Of Carnage","Clash Of The Line"
"0107","1250","Dominion","Hammer And Anvil"
"0108","3300","Dominion","Clash Of The Line"
"0109","4850","Tide Of Carnage","Hammer And Anvil"
"0110","1550","Shatter Strike","Vanguard Strike"
"0111","2350","War Of Lies","Search And Destroy"
"0112","2450","War Of Lies","Clash Of The Line"
"0113","1450","Tide Of Carnage","Hammer And Anvil"
"0114","3450","Shatter Strike","Hammer And Anvil"
"0115","3750","Tide Of Carnage","Hammer And Anvil"
"0116","3950","Tide Of Carnage","Ambush"
"0117","1700","Blood Feud","Hammer And Anvil"
"0118","3850","Onslaught","Dawn Of War"
"0119","1650","Blood Feud","Hammer And Anvil"
"0120","2150","Tide Of Carnage","Ambush"
"0121","3450","Blood Feud","Vanguard Strike"
"0122","2900","War Of Lies","Vanguard Strike"
"0123","4800","Dominion","Hammer And Anvil"
"0124","4400","Shatter Strike","Clash Of The Line"
"0125","4450","Shatter Strike","Clash Of The Line"
"0126","3850","Blood Feud","Ambush"
"0127","1250","Tide Of Carnage","Ambush"
"0128","4450","Shatter Strike","Clash Of The Line"
"0129","3200","Blood Feud","Hammer And Anvil"
"0130","2750","Shatter Strike","Search And Destroy"
"0131","3400","Tide Of Carnage","Search And Destroy"
"0132","3500","Onslaught","Clash Of The Line"
"0133","3300","Dominion","Clash Of The Line"
"0134","4300","Dominion","Hammer And Anvil"
"0135","2700","Dominion","Clash Of The Line"
"0136","1300","Onslaught","Vanguard Strike"
"0137","3550","Shatter Strike","Hammer And Anvil"
"0138","4250","War Of Lies","Ambush"
"0139","1750","Blood Feud","Clash Of The Line"
"0140","2450","Tide Of Carnage","Dawn Of War"
"0141","3250","War Of Lies","Clash Of The Line"
"0142","1650","War Of Lies","Hammer And Anvil"
"0143","4450","Tide Of Carnage","Ambush"
"0144","4300","Tide Of Carnage","Search And Destroy"
"0145","3500","Shatter Strike","Ambush"
"0146","2700","Dominion","Clash Of The Line"
"0147","3050","Shatter Strike","Hammer And Anvil"
"0148","2250","War Of Lies","Clash Of The Line"
"0149","1050","Onslaught","Search And Destroy"
"0150","3200","Shatter Strike","Hammer And Anvil"
"0151","3950","Shatter Strike","Dawn Of War"
"0152","3800","War Of Lies","Vanguard Strike"
"0153","2150","Onslaught","Clash Of The Line"
"0154","3350","Onslaught","Search And Destroy"
"0155","3700","Dominion","Clash Of The Line"
"0156","3450","Tide Of Carnage","Ambush"
"0157","2850","Shatter Strike","Dawn Of War"
"0158","4200","Tide Of Carnage","Search And Destroy"
"0159","3850","Tide Of Carnage","Ambush"
"0160","2750","Dominion","Hammer And Anvil"
"0161","4800","Onslaught","Ambush"
"0162","4750","Onslaught","Dawn Of War"
"0163","4900","Dominion","Vanguard Strike"
"0164","2400","Tide Of Carnage","Hammer And Anvil"
"0165","4950","Dominion","Clash Of The Line"
"0166","1950","Shatter Strike","Ambush"
"0167","3800","Dominion","Dawn Of War"
"0168","1800","Blood Feud","Search And Destroy"
"0169","3800","Dominion","Dawn Of War"
"0170","3850","Onslaught","Vanguard Strike"
"0171","2450","Blood Feud","Search And Destroy"
"0172","4000","War Of Lies","Search And Destroy"
"0173","1200","Tide Of Carnage","Ambush"
"0174","2900","Onslaught","Search And Destroy"
"0175","2700","Blood Feud","Hammer And Anvil"
"0176","2550","Dominion","Clash Of The Line"
"0177","4700","War Of Lies","Clash Of The Line"
"0178","1500","Shatter Strike","Search And Destroy"
"0179","4050","Dominion","Clash Of The Line"
