"gameID","gameSize","mission","deployment"
"0001","4950","Tide Of Carnage","Ambush"
"0002","1900","War Of Lies","Hammer And Anvil"
"0003","4300","War Of Lies","Dawn Of War"
"0004","4250","Onslaught","Ambush"
"0005","1150","Shatter Strike","Ambush"
"0006","4400","Onslaught","Clash Of The Line"
"0007","3650","Onslaught","Dawn Of War"
"0008","4500","Shatter Strike","Ambush"
"0009","1650","Shatter Strike","Ambush"
"0010","4700","Onslaught","Search And Destroy"
"0011","2900","Shatter Strike","Vanguard Strike"
"0012","2950","Shatter Strike","Clash Of The Line"
"0013","3000","Shatter Strike","Vanguard Strike"
"0014","1200","War Of Lies","Hammer And Anvil"
"0015","3500","Dominion","Hammer And Anvil"
"0016","1600","Onslaught","Vanguard Strike"
"0017","1900","War Of Lies","Search And Destroy"
"0018","4250","War Of Lies","Clash Of The Line"
"0019","3100","Blood Feud","Vanguard Strike"
"0020","2600","War Of Lies","Hammer And Anvil"
"0021","3800","Blood Feud","Dawn Of War"
"0022","1650","Shatter Strike","Vanguard Strike"
"0023","1800","Onslaught","Ambush"
"0024","3600","Shatter Strike","Dawn Of War"
"0025","1800","Dominion","Search And Destroy"
"0026","3850","Blood Feud","Ambush"
"0027","2650","Dominion","Dawn Of War"
"0028","2500","Tide Of Carnage","Clash Of The Line"
"0029","1100","Onslaught","Dawn Of War"
"0030","4600","War Of Lies","Dawn Of War"
"0031","3550","Onslaught","Clash Of The Line"
"0032","4600","Dominion","Vanguard Strike"
"0033","1100","War Of Lies","Hammer And Anvil"
"0034","1350","Tide Of Carnage","Search And Destroy"
"0035","4550","Onslaught","Search And Destroy"
"0036","1400","Tide Of Carnage","Hammer And Anvil"
"0037","3100","War Of Lies","Ambush"
"0038","1050","Blood Feud","Clash Of The Line"
"0039","1150","Shatter Strike","Hammer And Anvil"
"0040","1150","Tide Of Carnage","Ambush"
"0041","3850","Tide Of Carnage","Ambush"
"0042","3050","Tide Of Carnage","Hammer And Anvil"
"0043","1850","Tide Of Carnage","Ambush"
"0044","2500","Onslaught","Hammer And Anvil"
"0045","1550","Shatter Strike","Search And Destroy"
"0046","3850","Dominion","Dawn Of War"
"0047","3750","War Of Lies","Vanguard Strike"
"0048","2950","Dominion","Hammer And Anvil"
"0049","3350","War Of Lies","Vanguard Strike"
"0050","1950","Onslaught","Hammer And Anvil"
"0051","2700","Tide Of Carnage","Vanguard Strike"
"0052","4300","Blood Feud","Clash Of The Line"
"0053","1250","War Of Lies","Clash Of The Line"
"0054","2800","Onslaught","Hammer And Anvil"
"0055","2100","Onslaught","Vanguard Strike"
"0056","1150","Onslaught","Ambush"
"0057","3250","Dominion","Clash Of The Line"
"0058","2550","War Of Lies","Dawn Of War"
"0059","2950","Onslaught","Dawn Of War"
"0060","2800","Tide Of Carnage","Ambush"
"0061","4150","Blood Feud","Hammer And Anvil"
"0062","1750","Onslaught","Hammer And Anvil"
"0063","4350","Blood Feud","Hammer And Anvil"
"0064","4950","Tide Of Carnage","Ambush"
"0065","1450","Shatter Strike","Vanguard Strike"
"0066","1950","Blood Feud","Ambush"
"0067","1700","Onslaught","Search And Destroy"
"0068","2450","War Of Lies","Dawn Of War"
"0069","1050","Tide Of Carnage","Search And Destroy"
"0070","3000","Tide Of Carnage","Search And Destroy"
"0071","2250","Blood Feud","Ambush"
"0072","2450","War Of Lies","Clash Of The Line"
"0073","2500","Dominion","Ambush"
"0074","3850","Dominion","Ambush"
"0075","3150","Dominion","Vanguard Strike"
"0076","4450","Onslaught","Ambush"
"0077","3450","Dominion","Hammer And Anvil"
"0078","4650","Shatter Strike","Search And Destroy"
"0079","4200","Blood Feud","Dawn Of War"
"0080","2250","Shatter Strike","Clash Of The Line"
"0081","3950","Shatter Strike","Search And Destroy"
"0082","3000","Tide Of Carnage","Search And Destroy"
"0083","4700","War Of Lies","Clash Of The Line"
"0084","2100","Onslaught","Ambush"
"0085","2150","War Of Lies","Search And Destroy"
"0086","3300","Tide Of Carnage","Hammer And Anvil"
"0087","2800","Tide Of Carnage","Search And Destroy"
"0088","3750","Blood Feud","Hammer And Anvil"
"0089","3600","Blood Feud","Hammer And Anvil"
"0090","1300","Blood Feud","Search And Destroy"
"0091","1050","Onslaught","Search And Destroy"
"0092","2350","Shatter Strike","Clash Of The Line"
"0093","2500","Shatter Strike","Ambush"
"0094","4750","Dominion","Dawn Of War"
"0095","3600","Blood Feud","Dawn Of War"
"0096","2900","Shatter Strike","Dawn Of War"
"0097","4750","War Of Lies","Hammer And Anvil"
"0098","4050","Onslaught","Ambush"
"0099","3050","War Of Lies","Hammer And Anvil"
"0100","3550","Shatter Strike","Ambush"
"0101","1600","Tide Of Carnage","Search And Destroy"
"0102","2250","Dominion","Vanguard Strike"
"0103","2200","Onslaught","Clash Of The Line"
"0104","3250","Dominion","Search And Destroy"
"0105","2300","War Of Lies","Ambush"
"0106","1100","Shatter Strike","Clash Of The Line"
"0107","1000","Shatter Strike","Ambush"
"0108","2300","Shatter Strike","Search And Destroy"
"0109","3250","Onslaught","Search And Destroy"
"0110","1550","War Of Lies","Vanguard Strike"
"0111","3150","Onslaught","Vanguard Strike"
"0112","2100","War Of Lies","Clash Of The Line"
"0113","4700","Shatter Strike","Ambush"
"0114","4050","War Of Lies","Vanguard Strike"
"0115","1750","Blood Feud","Ambush"
"0116","3100","Shatter Strike","Dawn Of War"
"0117","1600","Shatter Strike","Vanguard Strike"
"0118","1450","Onslaught","Hammer And Anvil"
"0119","3050","Onslaught","Ambush"
"0120","1800","Shatter Strike","Dawn Of War"
"0121","4150","Blood Feud","Clash Of The Line"
"0122","2750","Blood Feud","Dawn Of War"
"0123","1950","War Of Lies","Vanguard Strike"
"0124","1150","War Of Lies","Dawn Of War"
"0125","2150","Onslaught","Ambush"
"0126","3500","Blood Feud","Ambush"
"0127","1300","Tide Of Carnage","Dawn Of War"
"0128","2800","Onslaught","Dawn Of War"
"0129","4100","Blood Feud","Dawn Of War"
"0130","3350","Onslaught","Search And Destroy"
"0131","1150","Onslaught","Clash Of The Line"
"0132","2550","Onslaught","Search And Destroy"
"0133","3000","Dominion","Hammer And Anvil"
"0134","2600","Blood Feud","Hammer And Anvil"
"0135","4300","Dominion","Vanguard Strike"
"0136","3000","Onslaught","Ambush"
"0137","2300","Onslaught","Clash Of The Line"
"0138","3200","Tide Of Carnage","Search And Destroy"
"0139","4650","Onslaught","Hammer And Anvil"
"0140","2850","Shatter Strike","Dawn Of War"
"0141","3550","War Of Lies","Clash Of The Line"
"0142","1650","Onslaught","Search And Destroy"
"0143","1550","Dominion","Hammer And Anvil"
"0144","1850","Dominion","Clash Of The Line"
"0145","1350","Shatter Strike","Dawn Of War"
"0146","2400","Onslaught","Hammer And Anvil"
"0147","1600","Onslaught","Dawn Of War"
"0148","1650","War Of Lies","Ambush"
"0149","1200","Tide Of Carnage","Clash Of The Line"
"0150","4600","Blood Feud","Search And Destroy"
"0151","1600","Onslaught","Clash Of The Line"
"0152","1750","Blood Feud","Clash Of The Line"
"0153","2700","Blood Feud","Dawn Of War"
"0154","1550","War Of Lies","Ambush"
"0155","4850","Tide Of Carnage","Vanguard Strike"
"0156","4100","Tide Of Carnage","Dawn Of War"
"0157","2900","Shatter Strike","Search And Destroy"
"0158","4300","War Of Lies","Hammer And Anvil"
"0159","3100","Tide Of Carnage","Clash Of The Line"
"0160","2400","Tide Of Carnage","Vanguard Strike"
"0161","4700","War Of Lies","Dawn Of War"
"0162","2150","Dominion","Dawn Of War"
"0163","2600","Onslaught","Search And Destroy"
"0164","4000","Shatter Strike","Search And Destroy"
"0165","4350","Shatter Strike","Search And Destroy"
"0166","1350","Tide Of Carnage","Clash Of The Line"
"0167","2850","Dominion","Search And Destroy"
"0168","3400","Tide Of Carnage","Hammer And Anvil"
"0169","4650","Blood Feud","Vanguard Strike"
"0170","2550","Tide Of Carnage","Search And Destroy"
"0171","4150","Blood Feud","Hammer And Anvil"
"0172","5000","War Of Lies","Vanguard Strike"
"0173","2150","Tide Of Carnage","Search And Destroy"
"0174","3250","Blood Feud","Dawn Of War"
"0175","1550","War Of Lies","Search And Destroy"
"0176","2850","Tide Of Carnage","Vanguard Strike"
"0177","1700","Blood Feud","Dawn Of War"
"0178","2400","Onslaught","Clash Of The Line"
"0179","4550","Onslaught","Clash Of The Line"
"0180","4000","Dominion","Vanguard Strike"
"0181","3700","Blood Feud","Vanguard Strike"
"0182","2700","War Of Lies","Dawn Of War"
"0183","3750","War Of Lies","Search And Destroy"
"0184","3700","Shatter Strike","Vanguard Strike"
"0185","3150","Shatter Strike","Hammer And Anvil"
"0186","4300","Onslaught","Search And Destroy"
"0187","2550","Onslaught","Dawn Of War"
"0188","3550","War Of Lies","Clash Of The Line"
"0189","2300","Onslaught","Search And Destroy"
"0190","2700","Tide Of Carnage","Dawn Of War"
"0191","1550","Shatter Strike","Vanguard Strike"
"0192","4100","Shatter Strike","Vanguard Strike"
"0193","1650","Onslaught","Search And Destroy"
"0194","4500","Shatter Strike","Hammer And Anvil"
"0195","2550","Onslaught","Ambush"
"0196","1550","Dominion","Search And Destroy"
"0197","1900","Shatter Strike","Search And Destroy"
"0198","1050","Blood Feud","Ambush"
"0199","4850","Onslaught","Hammer And Anvil"
"0200","1850","Blood Feud","Search And Destroy"
"0201","4700","Dominion","Hammer And Anvil"
"0202","2250","Onslaught","Search And Destroy"
"0203","2000","Dominion","Ambush"
"0204","2200","Shatter Strike","Clash Of The Line"
"0205","4050","War Of Lies","Hammer And Anvil"
"0206","1000","Shatter Strike","Dawn Of War"
"0207","2750","Tide Of Carnage","Clash Of The Line"
"0208","1450","Shatter Strike","Vanguard Strike"
"0209","3050","Tide Of Carnage","Search And Destroy"
"0210","1450","Tide Of Carnage","Vanguard Strike"
"0211","3950","Tide Of Carnage","Dawn Of War"
"0212","3000","War Of Lies","Clash Of The Line"
"0213","2050","Dominion","Vanguard Strike"
"0214","4900","Onslaught","Hammer And Anvil"
"0215","4300","War Of Lies","Search And Destroy"
"0216","1950","Shatter Strike","Search And Destroy"
"0217","1250","Dominion","Vanguard Strike"
"0218","3700","Tide Of Carnage","Ambush"
"0219","1950","Shatter Strike","Hammer And Anvil"
"0220","1400","War Of Lies","Clash Of The Line"
"0221","1350","War Of Lies","Clash Of The Line"
"0222","2850","War Of Lies","Dawn Of War"
"0223","4400","Shatter Strike","Hammer And Anvil"
"0224","4350","Onslaught","Ambush"
"0225","4400","Blood Feud","Vanguard Strike"
"0226","2200","Dominion","Search And Destroy"
"0227","2750","Shatter Strike","Vanguard Strike"
"0228","1800","Dominion","Ambush"
"0229","3550","War Of Lies","Clash Of The Line"
"0230","2550","War Of Lies","Vanguard Strike"
"0231","3900","Blood Feud","Hammer And Anvil"
"0232","4800","Onslaught","Dawn Of War"
"0233","1900","War Of Lies","Clash Of The Line"
"0234","3150","Dominion","Search And Destroy"
"0235","3550","War Of Lies","Ambush"
"0236","3850","Dominion","Ambush"
"0237","2750","Dominion","Hammer And Anvil"
"0238","4000","Onslaught","Dawn Of War"
"0239","3300","Onslaught","Search And Destroy"
"0240","3150","Tide Of Carnage","Hammer And Anvil"
"0241","4800","Shatter Strike","Hammer And Anvil"
"0242","1300","Dominion","Search And Destroy"
"0243","3500","Shatter Strike","Hammer And Anvil"
"0244","2400","Blood Feud","Clash Of The Line"
"0245","2350","Blood Feud","Hammer And Anvil"
"0246","3350","Onslaught","Vanguard Strike"
"0247","4850","Tide Of Carnage","Hammer And Anvil"
"0248","2500","Shatter Strike","Clash Of The Line"
"0249","1200","Shatter Strike","Ambush"
"0250","3650","War Of Lies","Clash Of The Line"
"0251","1400","War Of Lies","Hammer And Anvil"
"0252","4900","Blood Feud","Dawn Of War"
"0253","1300","Tide Of Carnage","Vanguard Strike"
"0254","1600","Tide Of Carnage","Search And Destroy"
"0255","1550","Onslaught","Hammer And Anvil"
"0256","1100","War Of Lies","Clash Of The Line"
"0257","2850","Tide Of Carnage","Search And Destroy"
"0258","4350","Dominion","Ambush"
"0259","1250","Onslaught","Search And Destroy"
"0260","4750","War Of Lies","Ambush"
"0261","2400","Dominion","Vanguard Strike"
"0262","4750","Blood Feud","Vanguard Strike"
"0263","2450","War Of Lies","Ambush"
"0264","2500","Shatter Strike","Search And Destroy"
"0265","1550","Shatter Strike","Hammer And Anvil"
"0266","3350","Onslaught","Dawn Of War"
"0267","3300","Dominion","Hammer And Anvil"
"0268","1600","Tide Of Carnage","Clash Of The Line"
"0269","3650","Onslaught","Hammer And Anvil"
"0270","4300","Dominion","Hammer And Anvil"
"0271","1700","Tide Of Carnage","Clash Of The Line"
"0272","3350","Dominion","Dawn Of War"
"0273","2250","Onslaught","Hammer And Anvil"
"0274","2900","Blood Feud","Dawn Of War"
"0275","1800","Tide Of Carnage","Search And Destroy"
"0276","1600","Onslaught","Ambush"
"0277","3850","War Of Lies","Clash Of The Line"
"0278","4350","Blood Feud","Vanguard Strike"
"0279","4100","Tide Of Carnage","Vanguard Strike"
"0280","3400","War Of Lies","Clash Of The Line"
"0281","3650","Tide Of Carnage","Search And Destroy"
"0282","1550","Shatter Strike","Ambush"
"0283","3850","Blood Feud","Dawn Of War"
"0284","1950","Onslaught","Ambush"
"0285","3700","Blood Feud","Search And Destroy"
"0286","4750","Shatter Strike","Hammer And Anvil"
"0287","4750","Dominion","Hammer And Anvil"
"0288","3600","Tide Of Carnage","Hammer And Anvil"
"0289","1950","Blood Feud","Ambush"
"0290","1300","Dominion","Dawn Of War"
"0291","2000","Shatter Strike","Hammer And Anvil"
"0292","1650","War Of Lies","Vanguard Strike"
"0293","2050","War Of Lies","Ambush"
"0294","2800","Onslaught","Search And Destroy"
"0295","3000","Shatter Strike","Hammer And Anvil"
"0296","1200","Onslaught","Hammer And Anvil"
"0297","1050","Tide Of Carnage","Dawn Of War"
"0298","2450","Blood Feud","Vanguard Strike"
"0299","4000","Dominion","Vanguard Strike"
"0300","1850","Dominion","Search And Destroy"
"0301","3250","Dominion","Hammer And Anvil"
"0302","4300","Blood Feud","Clash Of The Line"
"0303","1900","War Of Lies","Ambush"
"0304","4100","War Of Lies","Search And Destroy"
"0305","1850","War Of Lies","Ambush"
"0306","1400","Onslaught","Search And Destroy"
"0307","4750","Tide Of Carnage","Search And Destroy"
"0308","3600","Shatter Strike","Ambush"
"0309","3600","Shatter Strike","Search And Destroy"
"0310","1700","Shatter Strike","Dawn Of War"
"0311","3350","Tide Of Carnage","Dawn Of War"
"0312","3200","Blood Feud","Ambush"
"0313","4450","Blood Feud","Vanguard Strike"
"0314","2950","Onslaught","Hammer And Anvil"
"0315","1000","War Of Lies","Ambush"
"0316","1100","Shatter Strike","Clash Of The Line"
"0317","4550","Dominion","Clash Of The Line"
"0318","1100","Shatter Strike","Search And Destroy"
"0319","1900","Blood Feud","Search And Destroy"
"0320","4850","Onslaught","Search And Destroy"
"0321","1850","Shatter Strike","Search And Destroy"
"0322","2150","Onslaught","Hammer And Anvil"
"0323","1850","Tide Of Carnage","Ambush"
"0324","4950","Onslaught","Dawn Of War"
"0325","1600","War Of Lies","Clash Of The Line"
"0326","4100","Shatter Strike","Vanguard Strike"
"0327","2900","Dominion","Ambush"
"0328","4600","Blood Feud","Clash Of The Line"
"0329","2500","Shatter Strike","Dawn Of War"
"0330","2600","Blood Feud","Vanguard Strike"
"0331","4950","Blood Feud","Clash Of The Line"
"0332","2150","Tide Of Carnage","Clash Of The Line"
"0333","3600","Dominion","Clash Of The Line"
"0334","2950","Shatter Strike","Vanguard Strike"
"0335","4150","Dominion","Ambush"
"0336","4150","Shatter Strike","Clash Of The Line"
"0337","1700","War Of Lies","Clash Of The Line"
"0338","1800","Dominion","Hammer And Anvil"
"0339","1350","Onslaught","Vanguard Strike"
"0340","2850","Shatter Strike","Hammer And Anvil"
"0341","1000","War Of Lies","Ambush"
"0342","3450","Dominion","Search And Destroy"
"0343","2900","War Of Lies","Ambush"
"0344","2150","Blood Feud","Dawn Of War"
"0345","3400","Onslaught","Clash Of The Line"
"0346","1700","Blood Feud","Search And Destroy"
"0347","3600","Shatter Strike","Search And Destroy"
"0348","3300","Onslaught","Vanguard Strike"
"0349","1050","Dominion","Hammer And Anvil"
"0350","4350","Onslaught","Dawn Of War"
"0351","4000","Onslaught","Hammer And Anvil"
"0352","5000","Dominion","Ambush"
"0353","4900","Tide Of Carnage","Clash Of The Line"
"0354","4750","Blood Feud","Vanguard Strike"
"0355","4400","Shatter Strike","Dawn Of War"
"0356","1150","War Of Lies","Dawn Of War"
"0357","4050","Dominion","Ambush"
"0358","3250","Tide Of Carnage","Search And Destroy"
"0359","3700","Dominion","Dawn Of War"
"0360","2100","War Of Lies","Ambush"
"0361","3900","Tide Of Carnage","Hammer And Anvil"
"0362","4300","Onslaught","Clash Of The Line"
"0363","1150","War Of Lies","Hammer And Anvil"
"0364","3950","Onslaught","Dawn Of War"
"0365","1500","Shatter Strike","Clash Of The Line"
"0366","2400","Blood Feud","Dawn Of War"
"0367","3000","War Of Lies","Dawn Of War"
"0368","3950","Tide Of Carnage","Search And Destroy"
"0369","1300","Blood Feud","Ambush"
"0370","3350","Tide Of Carnage","Vanguard Strike"
"0371","3100","War Of Lies","Vanguard Strike"
"0372","2650","Onslaught","Hammer And Anvil"
"0373","3850","War Of Lies","Dawn Of War"
"0374","1650","Tide Of Carnage","Clash Of The Line"
"0375","4400","War Of Lies","Hammer And Anvil"
"0376","3000","Onslaught","Ambush"
"0377","1400","Shatter Strike","Search And Destroy"
"0378","1250","Shatter Strike","Search And Destroy"
"0379","4400","Blood Feud","Clash Of The Line"
"0380","2150","Dominion","Clash Of The Line"
"0381","4300","Blood Feud","Dawn Of War"
"0382","4050","Shatter Strike","Dawn Of War"
"0383","2600","Onslaught","Hammer And Anvil"
"0384","2500","Blood Feud","Hammer And Anvil"
"0385","4000","Onslaught","Hammer And Anvil"
"0386","4650","War Of Lies","Dawn Of War"
"0387","2000","War Of Lies","Vanguard Strike"
"0388","1350","War Of Lies","Hammer And Anvil"
"0389","4300","Tide Of Carnage","Search And Destroy"
"0390","1500","Blood Feud","Search And Destroy"
"0391","4500","War Of Lies","Hammer And Anvil"
"0392","1600","Shatter Strike","Dawn Of War"
"0393","2500","Shatter Strike","Vanguard Strike"
"0394","3150","War Of Lies","Dawn Of War"
"0395","3300","Onslaught","Clash Of The Line"
"0396","2950","War Of Lies","Search And Destroy"
"0397","3700","Shatter Strike","Dawn Of War"
"0398","2200","Shatter Strike","Dawn Of War"
"0399","3800","Shatter Strike","Vanguard Strike"
"0400","4950","Shatter Strike","Ambush"
"0401","4050","Blood Feud","Vanguard Strike"
"0402","1000","Shatter Strike","Search And Destroy"
"0403","3750","Dominion","Vanguard Strike"
"0404","1800","Dominion","Search And Destroy"
"0405","4850","Onslaught","Vanguard Strike"
"0406","4650","Blood Feud","Clash Of The Line"
"0407","2350","War Of Lies","Ambush"
"0408","4800","War Of Lies","Vanguard Strike"
"0409","2700","War Of Lies","Vanguard Strike"
"0410","3250","Blood Feud","Ambush"
"0411","2250","Dominion","Search And Destroy"
"0412","1450","War Of Lies","Search And Destroy"
"0413","4950","Shatter Strike","Ambush"
"0414","4550","War Of Lies","Hammer And Anvil"
"0415","3700","Tide Of Carnage","Hammer And Anvil"
"0416","3650","Shatter Strike","Vanguard Strike"
"0417","4900","War Of Lies","Hammer And Anvil"
"0418","1350","Blood Feud","Dawn Of War"
"0419","2550","Onslaught","Ambush"
"0420","2950","Dominion","Hammer And Anvil"
"0421","4050","Shatter Strike","Ambush"
"0422","3750","Blood Feud","Vanguard Strike"
"0423","1900","Onslaught","Hammer And Anvil"
"0424","1000","Blood Feud","Ambush"
"0425","2900","Tide Of Carnage","Vanguard Strike"
"0426","3950","Shatter Strike","Search And Destroy"
"0427","4350","Tide Of Carnage","Search And Destroy"
"0428","4900","War Of Lies","Ambush"
"0429","4750","Onslaught","Vanguard Strike"
"0430","1850","Dominion","Hammer And Anvil"
"0431","4500","Shatter Strike","Dawn Of War"
"0432","3000","Onslaught","Vanguard Strike"
"0433","2900","Onslaught","Ambush"
"0434","4300","Blood Feud","Ambush"
"0435","1050","Tide Of Carnage","Vanguard Strike"
"0436","3250","Shatter Strike","Search And Destroy"
