"gameID","gameSize","mission","deployment"
"0001","1350","Tide Of Carnage","Vanguard Strike"
"0002","2500","Tide Of Carnage","Vanguard Strike"
"0003","1350","Shatter Strike","Search And Destroy"
"0004","3950","Onslaught","Hammer And Anvil"
"0005","4550","War Of Lies","Search And Destroy"
"0006","3150","Shatter Strike","Hammer And Anvil"
"0007","2950","Onslaught","Hammer And Anvil"
"0008","1600","Shatter Strike","Hammer And Anvil"
"0009","2650","Tide Of Carnage","Dawn Of War"
"0010","2850","Blood Feud","Vanguard Strike"
"0011","1100","Tide Of Carnage","Vanguard Strike"
"0012","4350","Dominion","Clash Of The Line"
"0013","2700","War Of Lies","Vanguard Strike"
"0014","1100","Shatter Strike","Hammer And Anvil"
"0015","2850","Tide Of Carnage","Search And Destroy"
"0016","1850","Shatter Strike","Search And Destroy"
"0017","4250","Blood Feud","Clash Of The Line"
"0018","1150","Tide Of Carnage","Dawn Of War"
"0019","2450","Shatter Strike","Dawn Of War"
"0020","4150","Blood Feud","Dawn Of War"
"0021","1450","Tide Of Carnage","Vanguard Strike"
"0022","1900","Tide Of Carnage","Hammer And Anvil"
"0023","1500","Blood Feud","Dawn Of War"
"0024","1250","Tide Of Carnage","Dawn Of War"
"0025","2300","Onslaught","Ambush"
"0026","1250","Shatter Strike","Search And Destroy"
"0027","4450","War Of Lies","Clash Of The Line"
"0028","1600","Dominion","Vanguard Strike"
"0029","2000","War Of Lies","Vanguard Strike"
"0030","4150","War Of Lies","Dawn Of War"
"0031","3950","Dominion","Vanguard Strike"
"0032","3100","Tide Of Carnage","Ambush"
"0033","2600","Dominion","Hammer And Anvil"
"0034","4850","Dominion","Search And Destroy"
"0035","2500","Blood Feud","Clash Of The Line"
"0036","2700","Onslaught","Search And Destroy"
"0037","3550","Tide Of Carnage","Clash Of The Line"
"0038","1750","Onslaught","Vanguard Strike"
"0039","4500","Shatter Strike","Vanguard Strike"
"0040","1000","Tide Of Carnage","Vanguard Strike"
"0041","4700","Tide Of Carnage","Ambush"
"0042","4900","Blood Feud","Dawn Of War"
"0043","4350","War Of Lies","Vanguard Strike"
"0044","4850","Dominion","Clash Of The Line"
"0045","4850","Dominion","Vanguard Strike"
"0046","3100","Shatter Strike","Dawn Of War"
"0047","1850","Dominion","Hammer And Anvil"
"0048","1700","Shatter Strike","Search And Destroy"
"0049","4250","Tide Of Carnage","Search And Destroy"
"0050","3900","Shatter Strike","Ambush"
"0051","1250","Blood Feud","Clash Of The Line"
"0052","4050","Tide Of Carnage","Vanguard Strike"
"0053","1700","Shatter Strike","Vanguard Strike"
"0054","4300","Onslaught","Hammer And Anvil"
"0055","3500","Onslaught","Search And Destroy"
"0056","4750","Onslaught","Hammer And Anvil"
"0057","3350","Blood Feud","Clash Of The Line"
"0058","4450","Onslaught","Search And Destroy"
"0059","2950","Tide Of Carnage","Vanguard Strike"
"0060","2800","Onslaught","Search And Destroy"
"0061","2800","Blood Feud","Vanguard Strike"
"0062","4950","Tide Of Carnage","Hammer And Anvil"
"0063","4600","War Of Lies","Search And Destroy"
"0064","4750","Onslaught","Hammer And Anvil"
"0065","3200","Blood Feud","Search And Destroy"
"0066","2050","Tide Of Carnage","Hammer And Anvil"
"0067","4550","Blood Feud","Search And Destroy"
"0068","3600","Shatter Strike","Search And Destroy"
"0069","2150","Onslaught","Hammer And Anvil"
"0070","2550","Onslaught","Vanguard Strike"
"0071","3300","Blood Feud","Clash Of The Line"
"0072","2000","Shatter Strike","Clash Of The Line"
"0073","1900","Blood Feud","Dawn Of War"
"0074","4850","Blood Feud","Hammer And Anvil"
"0075","2400","Blood Feud","Vanguard Strike"
"0076","3000","Dominion","Ambush"
"0077","4750","Dominion","Vanguard Strike"
"0078","3550","Dominion","Ambush"
"0079","4950","Onslaught","Search And Destroy"
"0080","2150","Tide Of Carnage","Ambush"
"0081","1250","Shatter Strike","Vanguard Strike"
"0082","3150","Blood Feud","Ambush"
"0083","2850","War Of Lies","Dawn Of War"
"0084","4100","War Of Lies","Search And Destroy"
"0085","3900","Tide Of Carnage","Search And Destroy"
"0086","1250","Blood Feud","Dawn Of War"
"0087","2550","Blood Feud","Clash Of The Line"
"0088","2900","Shatter Strike","Search And Destroy"
"0089","1350","Shatter Strike","Ambush"
"0090","1000","Tide Of Carnage","Ambush"
"0091","4550","War Of Lies","Vanguard Strike"
"0092","2200","Tide Of Carnage","Clash Of The Line"
"0093","4450","Dominion","Search And Destroy"
"0094","4500","Blood Feud","Clash Of The Line"
"0095","4500","Blood Feud","Search And Destroy"
"0096","3750","Shatter Strike","Clash Of The Line"
"0097","2400","Tide Of Carnage","Dawn Of War"
"0098","4000","Blood Feud","Clash Of The Line"
"0099","1750","War Of Lies","Dawn Of War"
"0100","4900","Tide Of Carnage","Clash Of The Line"
"0101","1100","Blood Feud","Hammer And Anvil"
