"gameID","gameSize","mission","deployment"
"0001","5000","Onslaught","Ambush"
"0002","1300","Dominion","Search And Destroy"
"0003","3050","Tide Of Carnage","Vanguard Strike"
"0004","4000","Dominion","Search And Destroy"
"0005","3450","Dominion","Hammer And Anvil"
"0006","2050","Shatter Strike","Ambush"
"0007","1550","Dominion","Vanguard Strike"
"0008","2000","Onslaught","Clash Of The Line"
"0009","4450","Dominion","Dawn Of War"
"0010","3500","Tide Of Carnage","Hammer And Anvil"
"0011","4600","Blood Feud","Vanguard Strike"
"0012","4000","Onslaught","Vanguard Strike"
"0013","4800","Blood Feud","Search And Destroy"
"0014","1600","Shatter Strike","Vanguard Strike"
"0015","2800","Blood Feud","Hammer And Anvil"
"0016","3450","Blood Feud","Dawn Of War"
"0017","2650","Tide Of Carnage","Clash Of The Line"
"0018","3400","Shatter Strike","Vanguard Strike"
"0019","1950","Shatter Strike","Vanguard Strike"
"0020","3750","Shatter Strike","Vanguard Strike"
"0021","1600","Dominion","Dawn Of War"
"0022","2200","Shatter Strike","Clash Of The Line"
"0023","1400","Onslaught","Dawn Of War"
"0024","2750","War Of Lies","Vanguard Strike"
"0025","2250","War Of Lies","Ambush"
"0026","2900","Shatter Strike","Search And Destroy"
"0027","3200","Blood Feud","Search And Destroy"
"0028","2000","Onslaught","Hammer And Anvil"
"0029","4450","Dominion","Vanguard Strike"
"0030","1200","Onslaught","Hammer And Anvil"
"0031","3950","Blood Feud","Clash Of The Line"
"0032","3350","War Of Lies","Hammer And Anvil"
"0033","2400","Dominion","Ambush"
"0034","1500","Tide Of Carnage","Hammer And Anvil"
"0035","4550","Onslaught","Ambush"
"0036","1000","Tide Of Carnage","Dawn Of War"
"0037","1300","Tide Of Carnage","Clash Of The Line"
"0038","5000","Tide Of Carnage","Hammer And Anvil"
"0039","2950","Onslaught","Dawn Of War"
"0040","3700","Blood Feud","Dawn Of War"
"0041","3500","Onslaught","Vanguard Strike"
"0042","3250","Onslaught","Vanguard Strike"
"0043","3900","War Of Lies","Ambush"
"0044","4050","War Of Lies","Ambush"
"0045","1850","Dominion","Dawn Of War"
"0046","2500","Dominion","Hammer And Anvil"
"0047","2350","Onslaught","Dawn Of War"
"0048","3300","Onslaught","Clash Of The Line"
"0049","1650","Onslaught","Vanguard Strike"
"0050","3900","Onslaught","Search And Destroy"
"0051","1050","War Of Lies","Hammer And Anvil"
"0052","4100","Tide Of Carnage","Clash Of The Line"
"0053","3750","Tide Of Carnage","Hammer And Anvil"
"0054","4150","Onslaught","Hammer And Anvil"
"0055","1350","Tide Of Carnage","Search And Destroy"
"0056","4800","Dominion","Clash Of The Line"
"0057","3100","Tide Of Carnage","Hammer And Anvil"
"0058","2300","Shatter Strike","Search And Destroy"
"0059","4100","War Of Lies","Hammer And Anvil"
"0060","4900","Tide Of Carnage","Ambush"
"0061","3950","Tide Of Carnage","Dawn Of War"
"0062","3350","Tide Of Carnage","Clash Of The Line"
"0063","3700","Tide Of Carnage","Hammer And Anvil"
"0064","2850","Onslaught","Dawn Of War"
"0065","3300","Shatter Strike","Hammer And Anvil"
"0066","3450","Tide Of Carnage","Ambush"
"0067","1750","Dominion","Vanguard Strike"
"0068","1500","War Of Lies","Dawn Of War"
"0069","2250","Tide Of Carnage","Search And Destroy"
"0070","2150","Onslaught","Clash Of The Line"
"0071","1300","Shatter Strike","Ambush"
"0072","3300","War Of Lies","Search And Destroy"
"0073","4450","Onslaught","Dawn Of War"
"0074","4400","Shatter Strike","Clash Of The Line"
"0075","3150","Blood Feud","Search And Destroy"
"0076","1950","Dominion","Vanguard Strike"
"0077","2600","War Of Lies","Hammer And Anvil"
"0078","4500","Tide Of Carnage","Search And Destroy"
"0079","1300","Tide Of Carnage","Ambush"
"0080","4300","War Of Lies","Clash Of The Line"
"0081","3150","Blood Feud","Clash Of The Line"
"0082","4050","War Of Lies","Clash Of The Line"
"0083","1050","War Of Lies","Vanguard Strike"
"0084","1150","Tide Of Carnage","Ambush"
"0085","4600","War Of Lies","Clash Of The Line"
"0086","2050","Tide Of Carnage","Hammer And Anvil"
"0087","3950","Shatter Strike","Ambush"
"0088","2500","War Of Lies","Ambush"
