"PlayerID","gameID","faction","forceOrg","ROW/Subfaction","alliedFaction","warlordTrait","VPs","warlord","listName"
"KO","0001","Blackshields","Crusade","","","Master of Manoeuvre","5","Primus Medicae",""
"OG","0002","Alpha Legion","Leviathan","Sacrificial Offering","","Master of Mechanisms","2","Vigilator",""
"QV","0003","Raven Guard","Castellan","Orphans of Betrayal","Word Bearers","Conqueror of Cities","9","Moritat",""
"NT","0004","Imperial Fists","Crusade","","Word Bearers","The Death of Flesh","10","Vigilator",""
"RR","0005","Thousand Sons","Castellan","","","Princeps of Deceit","12","Moritat",""
"NJ","0006","Sons of Horus","Crusade","Sacrificial Offering","Sons of Horus","Puissant Commander","4","Praetor Tribune",""
"VS","0007","Salamanders","Onslaught","Sacrificial Offering","","Master of Manoeuvre","5","Praetor",""
"AI","0008","Night Lords","Castellan","Armoured Spearhead","","Inspiring Presence","9","Herald",""
"GL","0009","Night Lords","Leviathan","Armoured Spearhead","","Conqueror of Cities","5","Praetor Tribune",""
"JL","0010","Militia & Cults","Onslaught","","","Paladin of Glory","8","Force Commander",""
"QJ","0011","Death Guard","Onslaught","Pride of the Legion","","Target Priority","2","Primus Nullificator",""
"UD","0012","Mechanicum","Leviathan","Taghmata Omnissiah","","Master of Offence","4","Anacharis Scoria",""
"CF","0013","Imperial Fists","Castellan","Zone Mortalis Assault Force","","Master of Manoeuvre","1","Vigilator",""
"GI","0014","Space Wolves","Crusade","Legion Recon Company","","Child of Terra","6","Armistos",""
"YY","0015","Death Guard","Onslaught","Pride of the Legion","","Perfected Targeting","2","Praetor Tribune",""
"BY","0016","Thousand Sons","Castellan","The Axis of Dissolution","","Master of Manoeuvre","14","Armistos",""
"LD","0017","Death Guard","Onslaught","Primarch's Chosen","","Siege Master","5","Primus Nullificator",""
"VH","0018","Blood Angels","Castellan","Armoured Breakthrough","","Target Priority","14","Forge Lord",""
"US","0019","Questoris Knights","Onslaught","","","Marcher Lord","4","Seneschal",""
"EG","0020","Ultramarines","Onslaught","Armoured Breakthrough","","Immovable Object","15","Siege Breaker",""
"YF","0021","Word Bearers","Crusade","","","Uncanny Survivor","10","Praetor Tribune",""
"XT","0022","World Eaters","Leviathan","Hunter-Killer Mission","","World Burner","10","Primus Nullificator",""
"XJ","0023","Sons of Horus","Onslaught","Sacrificial Offering","","Strategic Genius","11","Forge Lord",""
"GG","0024","Shattered Legions","Onslaught","","","Master of Defence","13","Praetor Tribune",""
"FS","0025","Salamanders","Leviathan","","Thousand Sons","Lord of the Abyss","6","Primus Nullificator",""
"QF","0026","Thousand Sons","Leviathan","Drop Assault Vanguard","","Puissant Commander","14","Mortificator",""
"JB","0027","Sons of Horus","Onslaught","Armoured Spearhead","","Target Priority","9","Forge Lord",""
"GM","0028","Iron Warriors","Crusade","","","Coordinated Assault","13","Delegatus",""
"MC","0029","Mechanicum","Leviathan","Taghmata Omnissiah","","The Death of Flesh","4","Magos Dominus",""
"QY","0030","Salamanders","Crusade","The Covenant of Fire","","Bitter Blood","1","Primus Nullificator",""
"MV","0031","Death Guard","Onslaught","","Imperial Fists","Blind Barrage","14","Forge Lord",""
"MI","0032","Emperor's Children","Onslaught","Armoured Breakthrough","","Inspiring Presence","15","Vigilator",""
"PD","0033","Solar Auxilia","Crusade","","Word Bearers","Tenacity","4","Lord Marshal Ireton MaSade",""
"TK","0034","Ultramarines","Crusade","","","Dread Rites","2","Mortificator",""
"PE","0035","Questoris Knights","Castellan","","Militia & Cults","Paladin of Glory","6","Lord Scion",""
"JR","0036","Salamanders","Crusade","Brethren of Iron","Death Guard","Divide to Conquer","12","Armistos",""
"FF","0037","Shattered Legions","Castellan","Pride of the Legion","Death Guard","Immovable Object","6","Vigilator",""
"FX","0038","White Scars","Leviathan","","","Bloody Handed","4","Primus Nullificator",""
"YO","0039","Questoris Knights","Castellan","","","Tenacity","11","Archmagos Draykavac",""
"FF","0040","Iron Hands","Leviathan","Armoured Spearhead","","Bitter Blood","8","Chaplain",""
"NO","0041","Dark Angels","Crusade","","Dark Angels","Void Walker","15","Moritat",""
"QY","0042","Questoris Knights","Castellan","","","Bloody Handed","3","Archmagos Draykavac",""
